2022 Shanghai Ranking's Academic Ranking of World Universities,,,
Rank,Univercity,Region,Course
1,University of Amsterdam,Netherlands,1
2,The Ohio State University - Columbus,USA,0
3,Michigan State University,USA,0
4,The University of Texas at Austin,USA,0
5,"University of California, Santa Barbara",USA,1
6,Nanyang Technological University,Singapore,1
7,University of Vienna,Austria,0
8,University of Michigan-Ann Arbor,USA,0
9,University of Oxford,USA,1
10,University of Wisconsin - Madison,USA,0
11,Northwestern University,USA,1
12,University of Pennsylvania,USA,0
13,Indiana University Bloomington,India,0
14,University of Illinois at Urbana-Champaign,USA,0
15,University of Zurich,Switzerland,0
16,University of Munich,Germany,0
17,The Hebrew University of Jerusalem,Israel,0
18,University of Southern California,USA,1
19,KU Leuven,Belgium,0
20,Cornell University,USA,1
21,Pennsylvania State University - University Park,USA,0
22,"University of Minnesota, Twin Cities",USA,0
23,Vrije Universiteit Amsterdam,Netherlands,0
24,The University of Georgia,USA,1
25,"University of California, Davis",USA,1
26,University of Missouri - Columbia,USA,1
27,London School of Economics and Political Science,UK,1
28,"Rutgers, The State University of New Jersey - New Brunswick",USA,1
29,University of Washington,USA,1
30,University of Utah,USA,0
31,University of Oregon,USA,0
32,Stanford University,USA,2
33,Ghent University,Belgium,0
34,University of Mainz,Germany,2
35,University of Arizona,USA,0
36,University of Groningen,Netherlands,2
37,University of Kansas,USA,0
38,University of Mannheim,Germany,0
39,"University of Maryland, College Park",USA,2
40,University of Oslo,Norway,0
41,University of Helsinki,Finland,0
42,Boston University,USA,2
43,Temple University,USA,2
44,Radboud University Nijmegen,Netherlands,2
45,University of Antwerp,Belgium,1
46,University of Haifa,Israel,0
47,University of Iowa,USA,1
48,University of Connecticut,USA,1
49,"City, University of London",UK,2
50,The University of Alabama - Tuscaloosa,USA,0
