2023 QS World University Rankings,,,
Rank,Univercity,Region,Course
1,University of Amsterdam,Netherlands,1
2,University of Southern California,USA,1
3,The London School of Economics and Political Science (LSE),UK,1
4,Stanford University,USA,1
5,University of Texas at Austin,USA,2
6,Nanyang Technological University,Singapore,1
7,University of Pennsylvania,USA,0
8,University of Wisconsin-Madison,USA,1
9,Michigan State University,USA,0
10,New York University,United States,1
11,"Goldsmiths, University of London",UK,1
12,"University of California, Berkeley",United States,0
13,University of Michigan-Ann Arbor,USA,0
14,Massachusetts Institute of Technology,United States,0
15,University of Vienna,Austria,0
16,Columbia University,USA,2
17,Northwestern University,USA,1
18,"University of California, Los Angeles (UCLA)",USA,0
19,Queensland University of Technology (QUT),Australia,0
20,The Chinese University of Hong Kong (CUHK),China,0
21,University of Zurich,Switzerland,0
22,Ludwig-Maximilians-Universität München,Germany,0
23,National University of Singapore (NUS),Singapore,0
24,University of Leeds,UK,0
25,Pennsylvania State University - University Park,USA,0
26,King's College London,UK,1
27,The Ohio State University,USA,1
28,Yale University,USA,0
29,Cardiff University,UK,0
30,"University of California, Santa Barbara (UCSB)",USA,1
31,University of Illinois at Urbana-Champaign,USA,0
32,University of Copenhagen,Denmark,0
33,University of Toronto,Canada,0
34,Cornell University,USA,1
35,The University of Sydney,Australia,0
36,UCL,United Kingdom,0
37,Seoul National University,Korea,2
38,Tsinghua University,China,1
39,Freie Universitaet Berlin,Germany,0
40,The University of Melbourne,Australia,1
41,University of Washington,USA,1
42,RMIT University,Australia,0
43,Yonsei University,Republic of Korea,1
44,University of Helsinki,Finland,0
45,The University of Edinburgh,United Kingdom,0
46,University of North Carolina at Chapel Hill,USA,0
47,Aarhus University,Denmark,0
48,University of British Columbia,Canada,0
49,Peking University,China,1
50,"University of Missouri, Columbia",United States,0
