Rank,School name,Name in Chinese,Country,AI Course,AI Program (Program names that include AI courses),AI  background Teacher name,Teacher Background Information,Link,,,,,,,,,,,,,,,,,,,,,
2022 Shanghai Ranking's Academic Ranking of World Universities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,University of Amsterdam,阿姆斯特丹大学,"
Netherlands",Analysing Digital Culture,BA Media and Information,E.K. (Erik) Borra MSc,MSc in artificial intelligence and information retrieval,https://studiegids.uva.nl/xmlpages/page/2021-2022-en/search-course,,,,,,,,,,,,,,,,,,,,,
2,The Ohio State University - Columbus,俄亥俄州立大学-哥伦布,USA,N/A,N/A,N/A,N/A,https://gpadmissions.osu.edu/programs/program.aspx?prog=0046,,,,,,,,,,,,,,,,,,,,,
3,Michigan State University,密歇根州立大学,USA,N/A,N/A,N/A,N/A,https://reg.msu.edu/Courses/Search.aspx,,,,,,,,,,,,,,,,,,,,,
4,The University of Texas at Austin,得克萨斯大学奥斯汀分校,USA,Computational Media and Data Science,M.A. in Journalism and Media,,,,,,,,,,,,,,,,,,,,,,,,
5,"University of California, Santa Barbara",加州大学-圣塔芭芭拉,USA,Digital Media Technology and Engineering、Computing with Media Data\Digital Audio Programming: The Series\Computational Systems for Visual Art and Design\Advanced Computer Graphics,Media Arts and Technology,Jennifer Jacobs\JoAnn Kuchera-Morin\George Legrady\Marcos Novak,"Human Computer Interaction, Computational Design, Digital Fabrication, Systems Engineering, AR/VR.    \electronic and computer-generated music\.  interactive digital media, data visualization\. Certificate of Specialization in Computer Aided Architectural Design, transarchitectures, virtual environments and worldmaking, digital sculpture, algorithmic composition, transvergence",https://my.sa.ucsb.edu/catalog/Current/CollegesDepartments/ls-intro/MAT.aspx?DeptTab=Faculty,,,,,,,,,,,,,,,,,,,,,
6,Nanyang Technological University,南洋理工大学,singapore,Intelligent Information Retrieval \ Advanced Quantitative Research Methods in Communication and Information  , Master of Communication Studies (Research) | Communication,Andrea Nanetti\ Arul Indrasen Chib,"computer operating systems with graphical user interfaces\.  digital media (mobile, online, and social)",https://www.ntu.edu.sg/education/graduate-programme/master-of-communication-studies#additionaiInformation,,,,,,,,,,,,,,,,,,,,,
7,University of Vienna,维也纳大学,Austria,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
8,University of Michigan-Ann Arbor,密歇根大学-安娜堡,USA,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
9,University of Oxford,牛津大学,USA,digital kN/Awledge and culture\   digital politics and government,"MSc in Social Science of the Internet + DPhil in Information, Communication and the Social Sciences",Ekaterina Hertog、Keegan McBride,"Associate Professor in AI and Society\. Interoperability, Artificial Intelligence, Artificial Intelligence in the public sector",https://www.ox.ac.uk/admissions/graduate/courses/msc-dphil-social-science-internet-combined,,,,,,,,,,,,,,,,,,,,,
10,University of Wisconsin - Madison,威斯康星大学-麦迪逊,USA,N/A,N/A,N/A,N/A,https://commarts.wisc.edu/graduate/media-cultural-studies/,,,,,,,,,,,,,,,,,,,,,
11,N/Arthwestern University,西北大学（埃文斯顿）,USA,Human-computer interaction,"Media, TechN/Alogy, and Society (MTS) ",Jeremy Birnholtz, human-computer interaction issues,https://mts.northwestern.edu/,,,,,,,,,,,,,,,,,,,,,
12,University of Pennsylvania,宾夕法尼亚大学,USA,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
13,Indiana University Bloomington,印第安纳大学-布鲁明顿,India,N/A（digital media course media is to go to radio internship,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
