Country,Region,GDP per capita $,SPI,HCI,HPI,GINI,HDI
Luxembourg,Western Europe,109602,89.56,0.69,13.1511742,34.79,0.91
Switzerland,Western Europe,81867,91.42,0.77,34.33096962,33,0.947
Ireland,Western Europe,79669,90.35,0.81,30.01652957,32.8,0.943
Norway,Western Europe,67989,92.73,0.77,36.82705238,28.5,0.95
United States,Americas,63051,85.71,0.76,20.746378,41.4,0.922
Singapore,Asia Pacific,58484,85.46,0.88,36.1,39.8,0.938
Denmark,Western Europe,58439,92.11,0.77,32.67258209,28.2,0.935
Iceland,Western Europe,57189,91.09,0.74,31.07872474,26.94,0.941
Qatar,Middle East and North Africa,52751,70.58,0.61,25.5,41.4,0.848
Australia,Asia Pacific,51885,91.29,0.8,21.22896631,34.4,0.939
Netherlands,Western Europe,51290,91.06,0.8,35.31545093,28.2,0.936
Sweden,Western Europe,50339,91.62,0.8,28.03492519,29.6,0.94
Austria,Western Europe,48634,89.5,0.79,30.47822433,30.8,0.917
Finland,Western Europe,48461,91.89,0.81,31.29336395,27.12,0.932
Germany,Western Europe,45466,90.56,0.79,29.81550359,31.9,0.941
Hong Kong,Asia Pacific,45176,,0.82,16.79968497,53.3,0.936
Belgium,Western Europe,43814,89.46,0.76,23.72652343,27.6,0.924
Canada,Americas,42080,91.4,0.8,23.94183384,33.8,0.923
San Marino,Western Europe,41683,,,,,
Israel,Middle East and North Africa,41560,83.62,0.76,28.83147555,39,0.913
France,Western Europe,39257,88.78,0.76,30.41350606,31.9,0.894
United Kingdom,Western Europe,39229,88.54,0.78,31.90928632,34.8,0.924
Japan,Asia Pacific,39048,90.14,0.84,28.31934808,32.9,0.912
New Zealand,Asia Pacific,38675,91.64,0.77,31.2583395,36,0.924
United Arab Emirates,Middle East and North Africa,31948,70.6,0.66,,32.5,0.91
Italy,Western Europe,30657,87.36,0.77,28.0765247,35.16,0.884
South Korea,Asia Pacific,30644,89.06,0.84,24.79036034,31.6,0.91
Bahamas,Americas,30027,,,,,0.814
Malta,Western Europe,28469,84.89,0.7,28.96307143,29.1,0.885
Spain,Western Europe,26832,88.71,0.74,35.95897674,35.8,0.899
Cyprus,Western Europe,26240,86.64,0.75,30.71184643,32.9,0.873
Slovenia,Post-communist,25039,87.71,0.79,24.63884037,24.8,0.9
Brunei,Asia Pacific,23117,,0.63,,,0.838
Estonia,Post-communist,22986,87.26,0.75,17.89502179,31.2,0.881
Bahrain,Middle East and North Africa,22878,66.6,0.67,,,0.852
Czech Republic,Post-communist,22627,86.69,0.78,27.28409909,25.4,0.893
Kuwait,Middle East and North Africa,22252,77.47,0.58,,,0.806
Portugal,Western Europe,21608,87.79,0.78,24.84739373,35.2,0.855
Lithuania,Post-communist,19883,83.97,0.71,21.0365657,35.15,0.867
Saudi Arabia,Middle East and North Africa,19587,65.06,0.58,,45.9,0.854
Slovakia,Post-communist,18669,83.15,0.69,28.22889686,25.2,0.853
Greece,Western Europe,18168,85.78,0.69,23.62099962,35,0.874
Latvia,Post-communist,17230,83.19,0.72,17.05672886,34.3,0.854
Trinidad and Tobago,Americas,16197,76.33,0.61,15.71834672,40.3,0.792
Barbados,Americas,16082,80.5,,,,0.814
Hungary,Post-communist,15373,81.02,0.7,26.38318152,30.3,0.844
Uruguay,Americas,15332,82.99,0.6,36.13427977,39.7,0.81
Poland,Post-communist,15304,84.32,0.75,27.47118942,31.2,0.869
Saint Kitts and Nevis,Americas,15246,,0.59,,,0.779
Oman,Middle East and North Africa,14423,71.41,0.62,21.13942636,30.7,0.815
Palau,Asia Pacific,14233,,0.59,,,0.826
Antigua and Barbuda,Americas,14159,,0.6,,,0.778
Panama,Americas,14090,76.55,0.53,39.50257722,50.4,0.805
Croatia,Post-communist,14033,81.92,0.72,30.16419853,30.9,0.841
Romania,Post-communist,12813,78.35,0.6,28.80149854,34.4,0.82
Chile,Americas,12612,83.34,0.67,31.66552155,44.4,0.845
Maldives,Asia Pacific,12464,70.81,,,31.3,0.74
Seychelles,Sub Saharan Africa,12323,,0.68,,46.8,0.796
Costa Rica,Americas,11629,83.01,0.62,44.71407098,48.7,0.801
China,Asia Pacific,10839,66.62,0.67,25.72642016,38.5,0.746
Malaysia,Asia Pacific,10192,73.2,0.62,30.29171355,41.1,0.8
Russia,Post-communist,9972,72.56,0.73,18.71017812,36.8,0.815
Bulgaria,Post-communist,9826,79.86,0.68,20.44078927,40.6,0.811
Grenada,Americas,9824,,0.57,,,0.779
Saint Lucia,Americas,9780,,0.6,,51.2,0.759
Mauritius,Sub Saharan Africa,8951,78.96,0.63,27.38404009,38.5,0.794
Nauru,Asia Pacific,8867,,,,,
Kazakhstan,Post-communist,8782,72.66,0.75,19.05043464,27.2,0.808
Serbia,Post-communist,8506,75.54,0.76,29.04831258,38.8,0.795
Argentina,Americas,8433,80.66,0.61,35.19024364,42,0.839
Guyana,Americas,8073,66.95,0.49,,44.6,0.682
Mexico,Americas,8069,73.52,0.61,40.69729222,46.3,0.768
Montenegro,Post-communist,7933,74.42,0.62,25.12557536,39,0.818
Turkey,Middle East and North Africa,7715,68.27,0.63,26.42456508,41.9,0.808
Dominica,Americas,7709,,0.54,,,0.742
Turkmenistan,Post-communist,7507,58.35,,,40.8,0.715
Dominican Republic,Americas,7445,71.05,0.49,30.30721304,45.68,0.743
Thailand,Asia Pacific,7295,70.72,0.6,37.29010499,36.9,0.756
Iran,Middle East and North Africa,7257,67.49,0.59,23.99204174,40,0.784
Gabon,Sub Saharan Africa,7185,66.12,0.45,17.49684773,42.2,0.69
